EncampmentSite,Month,Day,Year,HomelessnessScore,Notes,,
upstream,October,24,2023,x,,SCORING LEGEND: SANTA ROSA CREEK,
melita,October,24,2023,x,,x,not monitored
brey,October,24,2023,x,,0,Likely no homeless activity
calistoga,October,24,2023,x,,1,Lilkey some homeless activity (1-2 people)
boas,October,24,2023,x,,(add note if evidence of more than 2 campers),
elaine,October,24,2023,x,,* used toilet paper observations counted as feces present. ,
trailhead,October,24,2023,0,,,
mission,October,24,2023,1,,,
lacantera,October,24,2023,x,,,
flatrocks,October,24,2023,x,,,
yulupa,October,24,2023,1,,,
webb,October,24,2023,0,,,
farmers,October,24,2023,1,,,
shortt,October,24,2023,0,,,
sherwood,October,24,2023,0,,,
alderbrook,October,24,2023,0,,,
talbot,October,24,2023,0,,,
montgomery,October,24,2023,1,"camp removed 10/20/23, feces present; larger encampment",,
brookwood,October,24,2023,1," 10/20/23, no camp,  feces present",,
e,October,24,2023,1,,,
sr_ave,October,24,2023,1,larger encampment,,
a,October,24,2023,1,,,
101,October,24,2023,1,,,
olive,October,24,2023,1,active camp under Railroad Avenue,,
traintracks,October,24,2023,1,"no camps for now.Large camp's residents, just South of here on Joe Rodeta trail, frequently hangout at this location , feces present near waters edge",,
3rd,October,24,2023,0,,,
pierson,October,24,2023,0,,,
dutton,October,24,2023,0,,,
link,October,24,2023,0,,,
mcfall,October,24,2023,0,,,
stonypt,October,24,2023,1,"one individual always present at nightfall, no feces observed lately",,
carina,October,24,2023,0,,,
charro,October,24,2023,0,,,
place_to_play,October,24,2023,0,,,
fulton,October,24,2023,1,,,
piner_creek,October,24,2023,0,,,
willowside,October,24,2023,0,,,
upstream,October,27,2023,x,,,
melita,October,27,2023,x,,,
brey,October,27,2023,x,,,
calistoga,October,27,2023,x,,,
boas,October,27,2023,x,,,
elaine,October,27,2023,x,,,
trailhead,October,27,2023,0,,,
mission,October,27,2023,1,feces,,
lacantera,October,27,2023,x,,,
flatrocks,October,27,2023,x,,,
yulupa,October,27,2023,1,,,
webb,October,27,2023,x,,,
farmers,October,27,2023,1,feces,,
shortt,October,27,2023,x,,,
sherwood,October,27,2023,x,,,
alderbrook,October,27,2023,x,,,
talbot,October,27,2023,x,,,
montgomery,October,27,2023,1, feces,,
brookwood,October,27,2023,x,,,
e,October,27,2023,x,,,
sr_ave,October,27,2023,x,,,
a,October,27,2023,x,,,
101,October,27,2023,x,,,
olive,October,27,2023,1,"camps day use hangout near bridge, feces",,
traintracks,October,27,2023,x,,,
3rd,October,27,2023,x,,,
pierson,October,27,2023,x,,,
dutton,October,27,2023,x,,,
link,October,27,2023,x,,,
mcfall,October,27,2023,x,,,
stonypt,October,27,2023,1,no feces observed,,
carina,October,27,2023,x,,,
charro,October,27,2023,x,,,
place_to_play,October,27,2023,0,feces in bioswale that drains to creek,,
fulton,October,27,2023,x,,,
piner_creek,October,27,2023,x,,,
willowside,October,27,2023,x,,,
upstream,November ,17,2023,0,"no trash, no frequent human activity ",,
melita,November ,17,2023,x,,,
brey,November,17,2023,x,,,
calistoga,November,17,2023,x,,,
boas,November,17,2023,x,,,
elaine,November,17,2023,x,,,
trailhead,November,17,2023,x,,,
